Unhedged_simple,Unhedged_log,Delta-hedged_simple,Delta-hedged_log,Gamma-hedged_simple,Gamma-hedged_log,Delta+Gamma-hedged_simple,Delta+Gamma-hedged_log
1507.9163567202136,1488.8467226387606,9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13
555.5132131967086,552.8973613131311,1.8189894035458565e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.3642420526593924e-12
995.3214324589098,986.9653577163422,-2.7284841053187847e-12,-1.3642420526593924e-12,-2.7284841053187847e-12,-1.3642420526593924e-12,-2.7284841053187847e-12,-1.3642420526593924e-12
-128.61155410467813,-128.75285774727695,-4.547473508864641e-12,0.0,-4.547473508864641e-12,0.0,-4.547473508864641e-12,0.0
680.6251407884206,676.7038619184464,-3.183231456205249e-12,-1.3642420526593924e-12,-3.183231456205249e-12,-1.3642420526593924e-12,-3.183231456205249e-12,-1.3642420526593924e-12
-891.9040638337351,-898.7593807824012,3.637978807091713e-12,-4.547473508864641e-13,3.637978807091713e-12,-4.547473508864641e-13,3.637978807091713e-12,-4.547473508864641e-13
392.88431720907647,391.5734712060448,9.094947017729282e-13,-1.3642420526593924e-12,9.094947017729282e-13,-1.3642420526593924e-12,9.094947017729282e-13,-1.3642420526593924e-12
-357.35424354243446,-358.44801115517885,2.2737367544323206e-12,-3.637978807091713e-12,2.2737367544323206e-12,-3.637978807091713e-12,2.2737367544323206e-12,-3.637978807091713e-12
493.58761097659976,491.5210107133373,-5.4569682106375694e-12,2.7284841053187847e-12,-5.4569682106375694e-12,2.7284841053187847e-12,-5.4569682106375694e-12,2.7284841053187847e-12
37.5309340234237,37.51892380399204,4.547473508864641e-13,-1.8189894035458565e-12,4.547473508864641e-13,-1.8189894035458565e-12,4.547473508864641e-13,-1.8189894035458565e-12
-62.51153118084608,-62.54488816013259,-1.3642420526593924e-12,-9.094947017729282e-13,-1.3642420526593924e-12,-9.094947017729282e-13,-1.3642420526593924e-12,-9.094947017729282e-13
-347.3093922651931,-348.3424161477144,-4.547473508864641e-12,-2.2737367544323206e-12,-4.547473508864641e-12,-2.2737367544323206e-12,-4.547473508864641e-12,-2.2737367544323206e-12
1400.6657269432062,1384.192605308403,-3.637978807091713e-12,-9.094947017729282e-13,-3.637978807091713e-12,-9.094947017729282e-13,-3.637978807091713e-12,-9.094947017729282e-13
-600.9875573620022,-604.0897575024644,1.3642420526593924e-12,-1.3642420526593924e-12,1.3642420526593924e-12,-1.3642420526593924e-12,1.3642420526593924e-12,-1.3642420526593924e-12
-79.20174067401467,-79.25529794244449,3.637978807091713e-12,-4.547473508864641e-13,3.637978807091713e-12,-4.547473508864641e-13,3.637978807091713e-12,-4.547473508864641e-13
524.0607937813311,521.7319418373597,9.094947017729282e-13,4.547473508864641e-13,9.094947017729282e-13,4.547473508864641e-13,9.094947017729282e-13,4.547473508864641e-13
144.88185642913913,144.70309631197279,-4.092726157978177e-12,2.7284841053187847e-12,-4.092726157978177e-12,2.7284841053187847e-12,-4.092726157978177e-12,2.7284841053187847e-12
595.0109773371121,592.0112567577476,2.2737367544323206e-12,-3.183231456205249e-12,2.2737367544323206e-12,-3.183231456205249e-12,2.2737367544323206e-12,-3.183231456205249e-12
-181.1234322661137,-181.40384815468383,1.8189894035458565e-12,3.183231456205249e-12,1.8189894035458565e-12,3.183231456205249e-12,1.8189894035458565e-12,3.183231456205249e-12
-152.67633882058226,-152.8755235155004,1.3642420526593924e-12,-4.547473508864641e-12,1.3642420526593924e-12,-4.547473508864641e-12,1.3642420526593924e-12,-4.547473508864641e-12
603.1157160764594,600.034001289969,-2.7284841053187847e-12,0.0,-2.7284841053187847e-12,0.0,-2.7284841053187847e-12,0.0
160.60701545779148,160.38738420230993,0.0,-1.3642420526593924e-12,0.0,-1.3642420526593924e-12,0.0,-1.3642420526593924e-12
814.4399489585526,808.8336550467825,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12
-457.5260862932498,-459.32105372881233,2.7284841053187847e-12,4.547473508864641e-13,2.7284841053187847e-12,4.547473508864641e-13,2.7284841053187847e-12,4.547473508864641e-13
